DISTRICT,NEXT DISTRICT,mean_relative_deviation,n_samples,y_true_mean
Yau Tsim Mong North,Sham Shui Po West,0.4303989118510588,233,10.791416309012876
Sha Tin South,Kowloon City South,0.429199537625407,27,14.592592592592593
Tin Shui Wai South and Ping Ha,Sham Shui Po East,0.42666447536371127,31,11.709677419354838
Tuen Mun West,Tuen Mun West,0.4250520708168572,100,14.529000000000002
Kwai Chung East,Kwai Chung East,0.42491644240141047,238,10.403781512605041
Southern District Southeast,Southern District Southeast,0.42420655643198446,1984,8.369002016129032
Kwun Tong Central,Wong Tai Sin West,0.4209642029949224,74,12.436486486486487
Tin Shui Wai South and Ping Ha,Tsuen Wan Southeast,0.4173509144546065,30,10.25
Yuen Long Town Centre,Sham Shui Po East,0.4140978719217893,15,12.120000000000001
Wong Tai Sin East,Kowloon City South,0.4139420198601821,91,9.353846153846154
Wong Tai Sin East,Kowloon City North,0.41309069048369335,109,8.458715596330276
Wu Tip Shan,Sham Shui Po West,0.41085445441015533,15,9.053333333333335
Tsuen Wan Northwest,Tsuen Wan Southeast,0.4104843593292328,117,10.847863247863248
Islands,Yau Tsim Mong North,0.40821873555965527,75,11.725333333333333
Sai Kung and Hang Hau,Kwai Chung West,0.40645830888853535,35,11.21142857142857
Wu Tip Shan,Sha Tin West,0.4061692414274808,39,11.328205128205129
Tseung Kwan O South,Wong Tai Sin West,0.4058199762234292,11,19.863636363636363
Sha Tin East,Kowloon City North,0.40476446383656545,132,13.376515151515152
Southern District Northwest,Southern District Southeast,0.4047441814156171,781,7.657746478873239
Yau Tsim Mong South,Sham Shui Po East,0.40354287004279155,221,10.474660633484163
Tuen Mun East,Tuen Mun West,0.39747070839025933,258,11.684108527131784
Sai Kung and Hang Hau,Yau Tsim Mong South,0.3951399123683767,90,11.951111111111112
Kwun Tong Southeast,Wong Tai Sin East,0.3915944162730778,81,13.81604938271605
Tseung Kwan O South,Kwai Chung West,0.39001675542552305,20,9.415000000000001
Tsuen Wan Northwest,Tsuen Wan Northwest,0.38990145112331753,418,10.928947368421053
Tsuen Wan Southeast,Tsuen Wan Southeast,0.38986351024490434,116,8.835344827586209
Yau Tsim Mong South,Yau Tsim Mong South,0.3879241801786323,339,10.733038348082596
Wu Tip Shan,Kwai Chung East,0.3878600142601889,31,12.53225806451613
Sai Kung and Hang Hau,Kwun Tong Southeast,0.38586080284916785,35,13.931428571428572
Tuen Mun North,Kwai Chung West,0.38303826023946996,7,12.414285714285713
Sha Tin South,Kowloon City North,0.3825389449063842,75,13.64
Kwun Tong West,Wong Tai Sin East,0.3825018523295074,109,11.143119266055047
Yau Tsim Mong North,Sha Tin South,0.3820778430554791,31,9.370967741935484
Tseung Kwan O South,Sham Shui Po East,0.37917061647363537,31,15.667741935483871
Kwun Tong Central,Wong Tai Sin East,0.37773451423308085,186,13.440860215053764
Tai Po South,Islands,0.3775007230235959,8,20.4
Yau Tsim Mong South,Sham Shui Po West,0.3770237992568393,241,12.229045643153526
Wu Tip Shan,Sha Tin South,0.37487329957410265,9,11.277777777777779
Sha Tin West,Sha Tin South,0.37451284689071657,160,9.508125
Kowloon City South,Sha Tin South,0.37185608329936465,41,15.84390243902439
Kwun Tong Southeast,Kwun Tong West,0.3708273728924205,140,11.747857142857143
Tseung Kwan O South,Kwun Tong West,0.3675012368711113,29,13.010344827586207
Tsuen Wan Northwest,Kwai Chung East,0.36431540651444716,94,9.98404255319149
Sham Shui Po West,Yau Tsim Mong North,0.36184165604707447,257,9.281322957198444
Tuen Mun West,Tuen Mun North,0.36015299991785904,108,8.957407407407407
Kowloon City South,Sham Shui Po West,0.3601229708044746,99,11.587878787878788
Sha Tin East,Kowloon City South,0.36006108433003275,52,16.54423076923077
Kwun Tong North,Wong Tai Sin East,0.3593661195316405,98,12.96734693877551
Kwun Tong Southeast,Wong Tai Sin West,0.35892767319493996,32,18.10625
Sai Kung and Hang Hau,Tseung Kwan O North,0.3587568323254018,269,9.388475836431226
Sai Kung and Hang Hau,Sai Kung and Hang Hau,0.35872443239843776,1218,11.858949096880131
Tseung Kwan O North,Sai Kung and Hang Hau,0.35852948465845813,217,9.380645161290323
Wan Chai,Central,0.3583678549450811,995,10.366934673366835
Islands,Yau Tsim Mong South,0.35824082093635196,75,21.833333333333332
Tin Shui Wai South and Ping Ha,Tuen Mun East,0.3565576930015781,124,14.588709677419354
Sham Shui Po West,Yau Tsim Mong South,0.35632381703639504,212,10.766509433962264
Tseung Kwan O North,Sham Shui Po West,0.3555989959978407,24,9.633333333333333
Sham Shui Po East,Yau Tsim Mong South,0.35508683327867135,198,9.689898989898989
Kwun Tong Central,Kwun Tong West,0.3540134791656709,207,10.007246376811594
Kowloon City South,Yau Tsim Mong South,0.35156111151278047,181,9.80718232044199
Tai Po North,Tsuen Wan Northwest,0.3515342091115779,9,22.966666666666665
Sai Kung and Hang Hau,Kowloon City South,0.34909146622648685,31,9.19032258064516
Islands,Sham Shui Po East,0.34864521412562294,101,16.91683168316832
Tin Shui Wai South and Ping Ha,Sham Shui Po West,0.3483126197176035,20,9.215
Tuen Mun North,Wan Chai,0.34603814935688926,54,21.164814814814818
Tuen Mun East,Sham Shui Po East,0.34555103995002817,58,12.817241379310344
Chai Wan,Chai Wan,0.34490376718966653,364,8.01978021978022
Wu Tip Shan,Kwai Chung West,0.34253093077045976,17,13.764705882352942
Sha Tin North,Sha Tin West,0.3415078702766731,65,10.558461538461538
Tseung Kwan O South,Sai Kung and Hang Hau,0.3410399042180119,156,8.486538461538462
Tai Po South,Tsuen Wan Northwest,0.3402315698938276,8,19.1875
Tsuen Wan Northwest,Kwai Chung West,0.34022685569870076,53,12.383018867924527
Kwun Tong North,Kwun Tong Central,0.3395067691875674,142,8.965492957746479
Kwun Tong Central,Sham Shui Po East,0.33331614618284944,68,15.163235294117646
Sai Kung and Hang Hau,Sham Shui Po East,0.3315007482795169,54,13.13888888888889
Tsuen Wan Southeast,Kwai Chung East,0.3311721748299118,244,9.377868852459015
Tsing Yi,Islands,0.33043904180112105,126,16.003968253968253
Western,Southern District Northwest,0.3303792084019679,435,9.961149425287358
Sha Tin North,Sai Kung and Hang Hau,0.33001700279043666,13,10.838461538461539
Yau Tsim Mong South,Kowloon City North,0.32963163953289976,423,10.281087470449172
Islands,Tsuen Wan Southeast,0.3281059384826017,51,18.915686274509806
Sha Tin West,Tai Po North,0.3271936487684333,155,11.305806451612904
Tuen Mun North,Kwun Tong Central,0.3261498236045522,46,17.65434782608696
Kwai Chung East,Tsuen Wan Northwest,0.32471183550330085,56,10.894642857142857
Wong Tai Sin West,Kowloon City South,0.32448297030579387,80,9.1775
Kwun Tong Southeast,Sham Shui Po East,0.3239940615616066,79,12.924050632911392
Sai Kung and Hang Hau,Kwun Tong Central,0.323024579826122,129,10.711627906976744
Kwun Tong Southeast,Kwun Tong Central,0.32295906093341437,147,9.864625850340136
Sha Tin East,Sai Kung and Hang Hau,0.322382891017038,32,16.215625
Tuen Mun North,Central,0.32073589448049505,51,22.692156862745097
Yau Tsim Mong South,Kowloon City South,0.31686610160182355,212,9.104716981132075
Southern District Northwest,Southern District Northwest,0.3166575716286203,886,8.077990970654628
Tsing Yi,Tsuen Wan Southeast,0.3163397469795611,46,7.982608695652174
Islands,Kwai Chung East,0.31422465157262125,48,17.58125
Wong Tai Sin West,Wong Tai Sin East,0.3135425648287913,75,8.109333333333334
Wong Tai Sin East,Tseung Kwan O North,0.3134925338722834,69,10.907246376811594
Sai Kung and Hang Hau,Yau Tsim Mong North,0.3121412697329999,41,11.046341463414633
Sha Tin East,Tai Po North,0.312046168602774,39,14.735897435897437
Sai Kung and Hang Hau,Kwun Tong North,0.3119590060125507,177,11.783050847457627
Kwun Tong West,Wong Tai Sin West,0.3108627336421684,59,10.794915254237289
Sham Shui Po East,Yau Tsim Mong North,0.3104659582786503,64,8.340625
Tsuen Wan Northwest,Sai Kung and Hang Hau,0.309836504719428,39,20.171794871794873
Kowloon City North,Sha Tin East,0.3094401172907533,87,11.373563218390805
Tuen Mun North,Kwun Tong West,0.30918865186406125,32,17.3875
Tsuen Wan Southeast,Tsuen Wan Northwest,0.30891901053427956,79,10.758227848101265
Wong Tai Sin West,Yau Tsim Mong South,0.3058963879229442,92,8.63586956521739
Tuen Mun East,Yau Tsim Mong South,0.30434443056264676,157,18.561146496815287
Tuen Mun East,Yuen Long Rural East,0.30276452245659596,17,8.794117647058824
Islands,Sham Shui Po West,0.30156423505334645,40,12.17
Tsuen Wan Northwest,Tsing Yi,0.3013014159297433,40,10.6075
Tin Shui Wai South and Ping Ha,Kwun Tong North,0.29831523245510877,1212,22.965346534653467
Tai Po North,Sha Tin West,0.2980691790845858,142,13.165492957746478
Tin Shui Wai South and Ping Ha,Yau Tsim Mong North,0.2968285701891957,31,9.641935483870967
Kowloon City South,Wong Tai Sin East,0.29636052554707965,73,7.723287671232876
Tsing Yi,Kwai Chung West,0.29596816151853145,141,8.977304964539007
Tuen Mun North,Sham Shui Po East,0.2941781105957407,28,15.035714285714286
Sai Kung and Hang Hau,Sha Tin North,0.2939242405070656,23,13.382608695652175
Tai Po North,Tai Po North,0.29366676347633885,852,9.600234741784039
Sha Tin West,Sha Tin West,0.29364617144961974,396,9.768686868686869
Wong Tai Sin East,Sai Kung and Hang Hau,0.29224528980205305,235,11.545531914893616
Wong Tai Sin East,Tseung Kwan O South,0.2922377668603648,42,10.088095238095239
Tai Po North,Sha Tin North,0.29167781894976347,78,10.442307692307692
Wu Tip Shan,Tai Po South,0.29113712685663373,118,12.629661016949152
Yau Tsim Mong North,Yau Tsim Mong South,0.29092664505680566,196,8.638265306122449
Kwun Tong Southeast,Sai Kung and Hang Hau,0.2903976393187239,8,9.7625
Kwai Chung West,Islands,0.2893217604693842,70,17.11857142857143
Kwun Tong West,Sham Shui Po East,0.28559944192281134,89,11.044943820224718
Wan Chai,Kowloon City South,0.2854940833810886,47,19.96808510638298
Tai Po South,Tai Po North,0.2854110686616216,456,8.784649122807018
Kwun Tong Central,Tseung Kwan O North,0.28502563310880286,96,10.098958333333334
Kowloon City South,Sha Tin East,0.28494271864715137,22,13.945454545454545
Tuen Mun North,Tsuen Wan Southeast,0.28236602997404175,26,8.911538461538461
Wong Tai Sin West,Kowloon City North,0.28166674514504064,133,8.445112781954888
Yuen Long Town Centre,Yuen Long Town Centre,0.28162778816985307,67,8.81492537313433
Kwun Tong West,Tseung Kwan O North,0.28096145634255965,32,12.13125
Yuen Long Rural East,Tin Shui Wai South and Ping Ha,0.28079951247229573,141,11.221276595744682
Kwun Tong Southeast,Sham Shui Po West,0.2797001534130753,23,8.886956521739132
Sha Tin East,Sha Tin West,0.2795043245883167,194,10.312371134020617
Kowloon City North,Sha Tin West,0.278371309478973,42,10.038095238095238
Western,Wan Chai,0.2779983438570925,264,7.511363636363637
Kwai Chung East,Tai Po North,0.27759858487851985,26,13.296153846153846
Wu Tip Shan,Tai Po North,0.2774579659476922,113,13.461061946902655
Kwun Tong North,Wong Tai Sin West,0.27729462708853764,47,13.625531914893617
Sha Tin South,Sha Tin South,0.2758308445711653,180,9.117777777777778
Yau Tsim Mong North,Sha Tin East,0.2755873320349919,50,14.286
Kwai Chung West,Tsuen Wan Northwest,0.2753378256344697,98,9.972448979591837
Tuen Mun West,Kwun Tong Central,0.27435943564928467,26,18.515384615384615
Yuen Long Town Centre,Sham Shui Po West,0.2731216003600078,20,9.459999999999999
Sham Shui Po West,Sham Shui Po East,0.27305535385211827,235,7.4297872340425535
Southern District Southeast,Central,0.27296290771983545,388,8.96159793814433
Kwun Tong West,Kwun Tong Central,0.27261434090833614,280,8.661071428571429
Tsuen Wan Northwest,Islands,0.2712542199075191,137,15.535766423357664
Kwai Chung West,Yau Tsim Mong North,0.2708809212328131,53,10.80754716981132
Tseung Kwan O North,Yau Tsim Mong North,0.27085158740167037,38,9.83421052631579
Tai Po North,Sha Tin South,0.27022675373673255,20,9.4
Yau Tsim Mong South,Wong Tai Sin West,0.26927343742154336,160,8.95875
Tai Po North,Tai Po South,0.26902417494892267,437,11.047368421052632
Central,Kowloon City South,0.2681642722261331,39,14.764102564102563
Central,Wan Chai,0.26716616372047897,1230,10.27560975609756
Kwun Tong North,Kwai Chung West,0.2667055672507514,35,12.648571428571428
Kwun Tong North,Sham Shui Po East,0.2663934943230648,77,12.446753246753246
Hong Wan,Tai Pak,0.2661385586764142,573,8.112739965095987
Tsuen Wan Northwest,Tuen Mun East,0.26598013466467635,482,9.675311203319502
Wong Tai Sin East,Yau Tsim Mong South,0.265950821625741,98,8.776530612244898
Sha Tin West,Sha Tin North,0.26590633273546077,80,10.966249999999999
Sha Tin South,Sha Tin East,0.26571895968863873,155,9.829032258064515
Tuen Mun West,Sham Shui Po East,0.26546760840539674,18,12.011111111111113
Kwai Chung West,Kwai Chung East,0.26521217932801994,119,9.346218487394959
Western,Tai Pak,0.2651057721422366,100,8.13
Tseung Kwan O South,Kwun Tong Southeast,0.26504565857009643,12,18.875
Yuen Long Town Centre,Kwai Chung East,0.2647942985885884,7,12.928571428571429
Wong Tai Sin East,Sham Shui Po East,0.26470945385145617,88,12.60340909090909
Yuen Long Town Centre,Tuen Mun North,0.2641360143046403,20,11.235000000000001
Yau Tsim Mong North,Kowloon City North,0.26290309123560807,156,9.323717948717949
Tsing Yi,Tsuen Wan Northwest,0.261544192629733,36,12.538888888888888
Tseung Kwan O South,Yau Tsim Mong North,0.2607668325555787,20,11.215
Tuen Mun East,Sham Shui Po West,0.2593544079287842,43,10.94186046511628
Tsuen Wan Southeast,Sai Kung and Hang Hau,0.2584933600566479,44,16.270454545454545
Tuen Mun North,Sham Shui Po West,0.2583039969351121,17,8.411764705882353
Tsuen Wan Southeast,Tseung Kwan O South,0.2578251851130891,9,17.044444444444444
Sha Tin East,Sha Tin North,0.2567673725326122,362,9.4
Tseung Kwan O North,Kwun Tong Southeast,0.256012568964672,28,17.925
Tsuen Wan Southeast,Sham Shui Po West,0.2553754192992995,28,9.575000000000001
Yau Tsim Mong South,Sha Tin South,0.2552450715823112,83,15.509638554216867
Sai Kung and Hang Hau,Sham Shui Po West,0.2550247736031565,31,10.638709677419355
Tsuen Wan Southeast,Kwun Tong North,0.2547793198455522,13,15.523076923076925
Southern District Southeast,Wan Chai,0.2541088545963429,960,8.762604166666668
Wu Tip Shan,Kowloon City North,0.25334154493981,26,16.376923076923077
Sai Kung and Hang Hau,Kwun Tong West,0.2524180226652548,158,10.976582278481013
Kwun Tong North,Tsuen Wan Southeast,0.25134498836324215,26,13.915384615384616
Kwai Chung East,Kwun Tong North,0.2509296950504994,18,14.91111111111111
