Origin Station,Origin X_coord,Origin Y_coord,Destination Station,Destination X_coord,Destination Y_coord,Distance (km)
Chai Wan,22.264546,114.237176,Heng Fa Chuen,22.276665,114.239787,1.484158997674604
Whampoa,22.304999,114.189492,Ho Man Tin,22.309408,114.18249,0.8714353747459221
Ho Man Tin,22.309408,114.18249,Whampoa,22.304999,114.189492,0.8714353747459221
Ho Man Tin,22.309408,114.18249,Yau Ma Tei,22.313069,114.170748,1.822263445633278
Yau Ma Tei,22.313069,114.170748,Ho Man Tin,22.309408,114.18249,1.822263445633278
Yau Ma Tei,22.313069,114.170748,Mong Kok,22.319262,114.169449,0.6987403887416521
Mong Kok,22.319262,114.169449,Yau Ma Tei,22.313069,114.170748,0.6987403887416521
Mong Kok,22.319262,114.169449,Prince Edward,22.323961,114.168471,0.5303116744496562
Prince Edward,22.323961,114.168471,Mong Kok,22.319262,114.169449,0.5303116744496562
Prince Edward,22.323961,114.168471,Shek Kip Mei,22.331807,114.168733,0.8809311262304707
Shek Kip Mei,22.331807,114.168733,Prince Edward,22.323961,114.168471,0.8809311262304707
Shek Kip Mei,22.331807,114.168733,Kowloon Tong,22.336867,114.177541,1.2998272833511904
Kowloon Tong,22.336867,114.177541,Shek Kip Mei,22.331807,114.168733,1.2998272833511904
Kowloon Tong,22.336867,114.177541,Lok Fu,22.338261,114.187566,1.0595786163421976
Lok Fu,22.338261,114.187566,Kowloon Tong,22.336867,114.177541,1.0595786163421976
Lok Fu,22.338261,114.187566,Wong Tai Sin,22.341709,114.194331,0.8454900764645966
Wong Tai Sin,22.341709,114.194331,Lok Fu,22.338261,114.187566,0.8454900764645966
Wong Tai Sin,22.341709,114.194331,Diamond Hill,22.340088,114.201642,0.7943214758483967
Diamond Hill,22.340088,114.201642,Wong Tai Sin,22.341709,114.194331,0.7943214758483967
Diamond Hill,22.340088,114.201642,Choi Hung,22.334658,114.209579,1.0165201945804214
Choi Hung,22.334658,114.209579,Diamond Hill,22.340088,114.201642,1.0165201945804214
Choi Hung,22.334658,114.209579,Kowloon Bay,22.323311,114.214194,1.4018440445477591
Kowloon Bay,22.323311,114.214194,Choi Hung,22.334658,114.209579,1.4018440445477591
Kowloon Bay,22.323311,114.214194,Ngau Tau Kok,22.315458,114.219263,1.15353290182902
Ngau Tau Kok,22.315458,114.219263,Kowloon Bay,22.323311,114.214194,1.15353290182902
Ngau Tau Kok,22.315458,114.219263,Kwun Tong,22.312173,114.226636,0.8455035439810266
Kwun Tong,22.312173,114.226636,Ngau Tau Kok,22.315458,114.219263,0.8455035439810266
Kwun Tong,22.312173,114.226636,Lam Tin,22.306754,114.233015,0.9002456868757767
Lam Tin,22.306754,114.233015,Kwun Tong,22.312173,114.226636,0.9002456868757767
Lam Tin,22.306754,114.233015,Yau Tong,22.297851,114.237233,1.0969873473793774
Yau Tong,22.297851,114.237233,Lam Tin,22.306754,114.233015,1.0969873473793774
Yau Tong,22.297851,114.237233,Tiu Keng Leng,22.304016,114.252418,2.1419577292648353
Tiu Keng Leng,22.304016,114.252418,Yau Tong,22.297851,114.237233,2.1419577292648353
Admiralty,22.278132,114.165934,Ocean Park,22.248652,114.174384,3.881588351629497
Ocean Park,22.248652,114.174384,Admiralty,22.278132,114.165934,3.881588351629497
