Origin Station,Origin Station Number,Origin Latitude,Origin Longitude,Origin Constituency,Origin District,Destination Station,Destination Station Number,Destination Latitude,Destination Longitude,Destination Constituency,Destination District,Total Travel Time (mins),Total Distance (km),Fare (HKD),No. of Stations,Full Route
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Hung Hom,64,22.302517,114.181091,Yau Tsim Mong South,Yau Tsim Mong,45,35.30418837049035,65.0,8,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Exhibition Centre,94,22.281667,114.175278,Wan Chai,Wan Chai,47,36.68645063957953,110.0,8,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Exhibition Centre
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Admiralty,2,22.278752,114.164826,Central,Central and Western,41,35.52840769689733,110.0,7,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Lok Ma Chau,78,22.515966,114.069736,Yuen Long Rural East,Yuen Long,87,66.33633536109491,65.0,20,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lok Ma Chau
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Chai Wan,37,22.264415,114.237278,Chai Wan,Eastern,62,46.15557528331268,110.0,18,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen -> Chai Wan
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Heng Fa Chuen,36,22.276995,114.24011,Chai Wan,Eastern,60,44.671416285638074,110.0,17,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Shau Kei Wan,35,22.279516,114.229107,Hong Wan,Eastern,58,43.36690150014437,110.0,16,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Sai Wan Ho,34,22.282112,114.222075,Hong Wan,Eastern,56,42.64409898986103,110.0,15,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Tai Koo,33,22.285448,114.215949,Hong Wan,Eastern,54,41.890573974692145,110.0,14,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Quarry Bay,32,22.289583,114.208235,Tai Pak,Eastern,52,40.95329984468957,110.0,13,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay
