Origin Station,Origin Station Number,Origin Latitude,Origin Longitude,Origin Constituency,Origin District,Destination Station,Destination Station Number,Destination Latitude,Destination Longitude,Destination Constituency,Destination District,Total Travel Time (mins),Total Distance (km),Fare (HKD),No. of Stations,Full Route
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Tseung Kwan O,50,22.307709,114.26013,Tseung Kwan O South,Sai Kung,12,7.304430631128946,13.2,5,North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O
North Point,31,22.291469,114.200488,Tai Pak,Eastern,LOHAS Park,57,22.295251,114.270387,Sai Kung and Hang Hau,Sai Kung,18,7.304430631128946,13.2,6,North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> LOHAS Park
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Tsuen Wan,25,22.373621,114.117286,Tsuen Wan Northwest,Tsuen Wan,42,18.284642412308347,15.8,16,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau -> Tsuen Wan
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Tai Wo Hau,24,22.370972,114.125488,Tsuen Wan Southeast,Tsuen Wan,40,17.4526639946693,15.8,15,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Kwai Hing,23,22.363243,114.131078,Kwai Chung West,Kwai Tsing,38,16.16558930730898,15.8,14,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong -> Kwai Hing
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Kwai Fong,22,22.356754,114.127468,Kwai Chung East,Kwai Tsing,36,15.383437322282424,15.8,13,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Lai Chi Kok,19,22.337225,114.148362,Sham Shui Po West,Sham Shui Po,30,12.733584647480136,15.8,14,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Cheung Sha Wan,18,22.335707,114.15709,Sham Shui Po West,Sham Shui Po,28,11.742133838298496,15.8,13,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Sham Shui Po,17,22.330735,114.162315,Sham Shui Po East,Sham Shui Po,26,10.898869842965738,15.8,12,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Jordan,4,22.304651,114.171633,Yau Tsim Mong South,Yau Tsim Mong,18,7.788563741075028,13.2,8,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Tsim Sha Tsui,3,22.297048,114.173688,Yau Tsim Mong South,Yau Tsim Mong,16,6.804539702864582,13.2,7,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Ocean Park,86,22.248669,114.174556,Southern District Southeast,Southern,20,8.36608457989617,7.4,7,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Wong Chuk Hang,87,22.248018,114.167896,Southern District Southeast,Southern,22,9.046616572429247,9.2,8,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park -> Wong Chuk Hang
North Point,31,22.291469,114.200488,Tai Pak,Eastern,Lei Tung,88,22.241898,114.156172,Southern District Southeast,Southern,24,10.488671577594737,9.2,9,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park -> Wong Chuk Hang -> Lei Tung
North Point,31,22.291469,114.200488,Tai Pak,Eastern,South Horizons,89,22.24275,114.148912,Southern District Southeast,Southern,26,11.379702006183921,9.2,10,North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park -> Wong Chuk Hang -> Lei Tung -> South Horizons
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,48,39.09121738583057,110.0,11,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Tsing Yi -> Airport -> AsiaWorld-Expo
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Airport,47,22.316453,113.936495,Islands,Islands,45,37.95461427613804,110.0,10,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Tsing Yi -> Airport
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tsing Yi,46,22.358743,114.107738,Tsing Yi,Kwai Tsing,34,15.63180180521551,15.8,12,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Tsing Yi
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Kowloon,45,22.304403,114.161569,Yau Tsim Mong South,Yau Tsim Mong,23,6.764020141908986,13.2,8,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Hong Kong,44,22.284753,114.158142,Central,Central and Western,18,4.182228616038143,5.9,7,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sunny Bay,54,22.331886,114.028907,Tsuen Wan Northwest,Tsuen Wan,42,24.453824178249715,24.3,13,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Tsing Yi -> Sunny Bay
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Disneyland Resort,55,22.315103,114.044636,Tsuen Wan Northwest,Tsuen Wan,49,27.525665141272462,27.9,14,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Tsing Yi -> Sunny Bay -> Disneyland Resort
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Lo Wu,76,22.528285,114.113992,Robin’s Nest,North,56,37.41670981022079,54.4,18,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lo Wu
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sheung Shui,75,22.501357,114.12805,Robin’s Nest,North,51,37.41670981022079,24.5,17,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Fanling,74,22.49195,114.13883,Wu Tip Shan,North,49,35.932089310522706,24.5,16,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tai Wo,73,22.451089,114.161591,Tai Po South,Tai Po,44,29.77095765561626,23.0,15,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tai Po Market,72,22.444009,114.170195,Tai Po South,Tai Po,42,28.505490489078525,23.0,14,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,University,71,22.413821,114.209425,Sha Tin West,Sha Tin,37,22.166764871169487,20.9,13,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Fo Tan,69,22.395133,114.198069,Sha Tin West,Sha Tin,34,19.590749539686907,19.9,12,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sha Tin,68,22.382212,114.187909,Sha Tin West,Sha Tin,31,17.798698405660026,19.5,11,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tai Wai,67,22.372862,114.177802,Sha Tin South,Sha Tin,29,16.364974047821576,19.5,10,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Kowloon Tong,8,22.336818,114.175469,Sham Shui Po East,Sham Shui Po,25,11.945256506421883,15.8,9,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Mong Kok East,65,22.322195,114.171885,Yau Tsim Mong North,Yau Tsim Mong,22,10.146337847858115,15.8,8,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Hung Hom,64,22.302517,114.181091,Yau Tsim Mong South,Yau Tsim Mong,18,7.735027770818658,14.8,7,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Exhibition Centre,94,22.281667,114.175278,Wan Chai,Wan Chai,15,4.720852631615437,5.9,6,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Admiralty,2,22.278752,114.164826,Central,Central and Western,9,3.5628096889332346,5.9,5,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Lok Ma Chau,78,22.515966,114.069736,Yuen Long Rural East,Yuen Long,61,44.791081369365486,54.4,18,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lok Ma Chau
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Chai Wan,37,22.264415,114.237278,Chai Wan,Eastern,15,7.064357897482108,7.4,8,Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen -> Chai Wan
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Heng Fa Chuen,36,22.276995,114.24011,Chai Wan,Eastern,12,5.580198899807504,7.4,7,Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Shau Kei Wan,35,22.279516,114.229107,Hong Wan,Eastern,10,4.275684114313806,7.4,6,Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sai Wan Ho,34,22.282112,114.222075,Hong Wan,Eastern,8,3.552881604030464,5.9,5,Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tai Koo,33,22.285448,114.215949,Hong Wan,Eastern,7,2.7993565888615786,5.9,4,Fortress Hill -> North Point -> Quarry Bay -> Tai Koo
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Quarry Bay,32,22.289583,114.208235,Tai Pak,Eastern,5,1.8620824588590041,4.9,3,Fortress Hill -> North Point -> Quarry Bay
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,North Point,31,22.291469,114.200488,Tai Pak,Eastern,3,0.9216865393334374,4.9,2,Fortress Hill -> North Point
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tin Hau,29,22.282663,114.191777,Wan Chai,Wan Chai,3,0.6217236188698454,4.9,2,Fortress Hill -> Tin Hau
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Causeway Bay,28,22.2797,114.183429,Wan Chai,Wan Chai,5,1.5030270293942793,4.9,3,Fortress Hill -> Tin Hau -> Causeway Bay
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Wan Chai,27,22.277441,114.172207,Wan Chai,Wan Chai,7,2.6852262311962347,5.9,4,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Central,1,22.283041,114.158753,Central,Central and Western,11,4.182228616038143,5.9,6,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sheung Wan,26,22.286863,114.152831,Central,Central and Western,13,5.003263200903553,7.4,7,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sai Ying Pun,81,22.285652,114.142704,Western,Central and Western,15,6.080645619628304,7.4,8,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,HKU,82,22.283665,114.135716,Central,Central and Western,16,6.898707592287285,7.4,9,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun -> HKU
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Kennedy Town,83,22.281119,114.128817,Western,Central and Western,17,7.716051095128663,9.2,10,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun -> HKU -> Kennedy Town
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tiu Keng Leng,49,22.304225,114.252389,Tseung Kwan O South,Sai Kung,14,7.347490065690561,13.2,5,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Yau Tong,48,22.29809,114.237063,Kwun Tong Southeast,Kwun Tong,11,5.1996901313983335,10.6,4,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Lam Tin,38,22.307158,114.233168,Kwun Tong Central,Kwun Tong,15,6.296677478777711,10.6,5,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Kwun Tong,15,22.312319,114.22657,Kwun Tong Central,Kwun Tong,17,7.196923165653487,10.6,6,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Ngau Tau Kok,14,22.315669,114.218819,Kwun Tong Central,Kwun Tong,19,8.042426709634514,10.6,7,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Kowloon Bay,13,22.323267,114.214248,Kwun Tong West,Kwun Tong,21,9.195959611463534,13.2,8,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Choi Hung,12,22.334898,114.208546,Wong Tai Sin East,Wong Tai Sin,23,10.597803656011294,13.2,9,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Diamond Hill,11,22.340167,114.200483,Wong Tai Sin East,Wong Tai Sin,25,11.614323850591715,13.2,10,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Wong Tai Sin,10,22.341651,114.192597,Wong Tai Sin East,Wong Tai Sin,27,12.408645326440112,15.8,11,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Wong Tai Sin
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Lok Fu,9,22.338009,114.187697,Wong Tai Sin West,Wong Tai Sin,29,13.254135402904708,15.8,12,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Wong Tai Sin -> Lok Fu
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Shek Kip Mei,7,22.331998,114.169571,Sham Shui Po East,Sham Shui Po,25,9.863545439170274,15.8,11,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Shek Kip Mei
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Prince Edward,16,22.324433,114.168334,Yau Tsim Mong North,Yau Tsim Mong,22,8.982614312939804,13.2,10,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Mong Kok,6,22.319336,114.169246,Yau Tsim Mong North,Yau Tsim Mong,20,8.452982968458413,13.2,9,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Yau Ma Tei,5,22.31282,114.170963,Yau Tsim Mong South,Yau Tsim Mong,18,7.75449793865196,13.2,8,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Ho Man Tin,84,22.309521,114.182839,Kowloon City South,Kowloon City,23,9.576761384285238,13.2,9,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Ho Man Tin
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Whampoa,85,22.305079,114.189438,Kowloon City South,Kowloon City,25,10.448196759031159,13.2,10,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Ho Man Tin -> Whampoa
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Wu Kai Sha,103,22.429473,114.243664,Sha Tin North,Sha Tin,51,26.4478395625593,22.9,18,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On -> Ma On Shan -> Wu Kai Sha
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Ma On Shan,102,22.424894,114.231924,Sha Tin North,Sha Tin,49,25.089687177919185,22.9,17,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On -> Ma On Shan
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Heng On,101,22.418204,114.225857,Sha Tin North,Sha Tin,46,23.985110500557646,22.9,16,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Tai Shui Hang,100,22.408445,114.222614,Sha Tin East,Sha Tin,44,22.911615257276495,22.9,15,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Shek Mun,99,22.387678,114.208653,Sha Tin East,Sha Tin,41,20.012585394500316,20.4,14,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,City One,98,22.382877,114.203353,Sha Tin East,Sha Tin,39,19.291987055879588,20.4,13,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sha Tin Wai,97,22.377073,114.194856,Sha Tin East,Sha Tin,37,18.156774065959684,20.4,12,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Che Kung Temple,96,22.374846,114.186262,Sha Tin South,Sha Tin,35,17.19282868528427,20.4,11,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Che Kung Temple
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Hin Keng,90,22.363972,114.170774,Sha Tin South,Sha Tin,35,16.02719087385171,19.5,11,Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Kai Tak,91,22.330498,114.199368,Kowloon City North,Kowloon City,29,11.661162693882456,13.2,11,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi -> Kai Tak
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Sung Wong Toi,92,22.32595,114.191175,Kowloon City North,Kowloon City,27,10.721542619027627,13.2,10,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,To Kwa Wan,93,22.317174,114.187573,Kowloon City North,Kowloon City,25,9.588840687836585,13.2,9,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Ho Man Tin -> To Kwa Wan
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,East Tsim Sha Tsui,80,22.296482,114.173505,Yau Tsim Mong South,Yau Tsim Mong,23,8.938474509922166,13.2,8,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Austin,111,22.303331,114.16886,Yau Tsim Mong South,Yau Tsim Mong,26,10.54585949059299,13.2,9,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Nam Cheong,53,22.326433,114.1537,Sham Shui Po West,Sham Shui Po,27,9.449631646017458,15.8,10,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong
Fortress Hill,30,22.288411,114.193708,Tai Pak,Eastern,Mei Foo,20,22.338436,114.138433,Sham Shui Po West,Sham Shui Po,30,12.747920765823421,15.8,14,Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo
