Origin Station,Origin District,Destination Station,Destination District,Route Travel Time (mins),Fare (HKD),Full Route
Shau Kei Wan,Eastern,Che Kung Temple,Sha Tin,43,20.4,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng -> Tai Wai -> Che Kung Temple
Shau Kei Wan,Eastern,Hin Keng,Sha Tin,39,19.5,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng
Shau Kei Wan,Eastern,Kai Tak,Kowloon City,37,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Kai Tak
Shau Kei Wan,Eastern,Sung Wong Toi,Kowloon City,36,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi
Shau Kei Wan,Eastern,To Kwa Wan,Kowloon City,34,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Ho Man Tin -> To Kwa Wan
Shau Kei Wan,Eastern,East Tsim Sha Tsui,Yau Tsim Mong,32,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui
Shau Kei Wan,Eastern,Austin,Yau Tsim Mong,35,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin
Shau Kei Wan,Eastern,Nam Cheong,Sham Shui Po,36,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong
Shau Kei Wan,Eastern,Mei Foo,Sham Shui Po,39,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo
Shau Kei Wan,Eastern,Tsuen Wan West,Tsuen Wan,45,18.7,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West
Shau Kei Wan,Eastern,Kam Sheung Road,Yuen Long,51,29.3,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road
Shau Kei Wan,Eastern,Yuen Long,Yuen Long,55,30.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long
Shau Kei Wan,Eastern,Long Ping,Yuen Long,57,30.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping
Shau Kei Wan,Eastern,Tin Shui Wai,Yuen Long,60,30.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai
Shau Kei Wan,Eastern,Siu Hong,Tuen Mun,64,30.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai -> Siu Hong
Shau Kei Wan,Eastern,Tuen Mun,Tuen Mun,67,30.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai -> Siu Hong -> Tuen Mun
Shau Kei Wan,Eastern,Tung Chung,Islands,58,27.9,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Tsing Yi -> Sunny Bay -> Tung Chung
Shau Kei Wan,Eastern,Lai King,Kwai Tsing,40,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King
Shau Kei Wan,Eastern,Olympic,Yau Tsim Mong,34,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic
Shau Kei Wan,Eastern,Po Lam,Sai Kung,25,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> Hang Hau -> Po Lam
Shau Kei Wan,Eastern,Hang Hau,Sai Kung,23,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> Hang Hau
Shau Kei Wan,Eastern,Tseung Kwan O,Sai Kung,20,13.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O
Shau Kei Wan,Eastern,LOHAS Park,Sai Kung,26,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> LOHAS Park
Shau Kei Wan,Eastern,Tsuen Wan,Tsuen Wan,49,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau -> Tsuen Wan
Shau Kei Wan,Eastern,Tai Wo Hau,Tsuen Wan,48,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau
Shau Kei Wan,Eastern,Kwai Hing,Kwai Tsing,46,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong -> Kwai Hing
Shau Kei Wan,Eastern,Kwai Fong,Kwai Tsing,44,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Kwai Fong
Shau Kei Wan,Eastern,Lai Chi Kok,Sham Shui Po,37,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok
Shau Kei Wan,Eastern,Cheung Sha Wan,Sham Shui Po,35,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan
Shau Kei Wan,Eastern,Sham Shui Po,Sham Shui Po,33,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Sham Shui Po
Shau Kei Wan,Eastern,Jordan,Yau Tsim Mong,26,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan
Shau Kei Wan,Eastern,Tsim Sha Tsui,Yau Tsim Mong,24,15.8,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui
Shau Kei Wan,Eastern,Ocean Park,Southern,27,9.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park
Shau Kei Wan,Eastern,Wong Chuk Hang,Southern,29,9.2,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park -> Wong Chuk Hang
Shau Kei Wan,Eastern,Lei Tung,Southern,32,11.0,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park -> Wong Chuk Hang -> Lei Tung
Shau Kei Wan,Eastern,South Horizons,Southern,33,11.0,Shau Kei Wan -> Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Ocean Park -> Wong Chuk Hang -> Lei Tung -> South Horizons
Sai Wan Ho,Eastern,AsiaWorld-Expo,Islands,56,110.0,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Tsing Yi -> Airport -> AsiaWorld-Expo
Sai Wan Ho,Eastern,Airport,Islands,52,110.0,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Tsing Yi -> Airport
Sai Wan Ho,Eastern,Tsing Yi,Kwai Tsing,42,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Tsing Yi
Sai Wan Ho,Eastern,Kowloon,Yau Tsim Mong,30,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon
Sai Wan Ho,Eastern,Hong Kong,Central and Western,25,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong
Sai Wan Ho,Eastern,Sunny Bay,Tsuen Wan,50,24.3,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Tsing Yi -> Sunny Bay
Sai Wan Ho,Eastern,Disneyland Resort,Tsuen Wan,56,27.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Hong Kong -> Kowloon -> Olympic -> Nam Cheong -> Lai King -> Tsing Yi -> Sunny Bay -> Disneyland Resort
Sai Wan Ho,Eastern,Lo Wu,North,63,54.4,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lo Wu
Sai Wan Ho,Eastern,Sheung Shui,North,59,24.5,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui
Sai Wan Ho,Eastern,Fanling,North,57,24.5,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling
Sai Wan Ho,Eastern,Tai Wo,Tai Po,52,23.0,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo
Sai Wan Ho,Eastern,Tai Po Market,Tai Po,50,23.0,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market
Sai Wan Ho,Eastern,University,Sha Tin,44,20.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University
Sai Wan Ho,Eastern,Fo Tan,Sha Tin,41,19.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan
Sai Wan Ho,Eastern,Sha Tin,Sha Tin,38,19.5,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin
Sai Wan Ho,Eastern,Tai Wai,Sha Tin,36,19.5,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai
Sai Wan Ho,Eastern,Kowloon Tong,Sham Shui Po,32,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong
Sai Wan Ho,Eastern,Mong Kok East,Yau Tsim Mong,29,17.0,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East
Sai Wan Ho,Eastern,Hung Hom,Yau Tsim Mong,26,17.0,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom
Sai Wan Ho,Eastern,Exhibition Centre,Wan Chai,22,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre
Sai Wan Ho,Eastern,Admiralty,Central and Western,16,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty
Sai Wan Ho,Eastern,Lok Ma Chau,Yuen Long,69,54.4,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Exhibition Centre -> Hung Hom -> Mong Kok East -> Kowloon Tong -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lok Ma Chau
Sai Wan Ho,Eastern,Chai Wan,Eastern,7,4.9,Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen -> Chai Wan
Sai Wan Ho,Eastern,Heng Fa Chuen,Eastern,5,4.9,Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen
Sai Wan Ho,Eastern,Shau Kei Wan,Eastern,3,4.9,Sai Wan Ho -> Shau Kei Wan
Sai Wan Ho,Eastern,Tai Koo,Eastern,3,4.9,Sai Wan Ho -> Tai Koo
Sai Wan Ho,Eastern,Quarry Bay,Eastern,4,4.9,Sai Wan Ho -> Tai Koo -> Quarry Bay
Sai Wan Ho,Eastern,North Point,Eastern,6,5.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point
Sai Wan Ho,Eastern,Fortress Hill,Eastern,8,5.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill
Sai Wan Ho,Eastern,Tin Hau,Wan Chai,10,7.4,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau
Sai Wan Ho,Eastern,Causeway Bay,Wan Chai,12,7.4,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay
Sai Wan Ho,Eastern,Wan Chai,Wan Chai,14,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai
Sai Wan Ho,Eastern,Central,Central and Western,18,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central
Sai Wan Ho,Eastern,Sheung Wan,Central and Western,20,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan
Sai Wan Ho,Eastern,Sai Ying Pun,Central and Western,22,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun
Sai Wan Ho,Eastern,HKU,Central and Western,23,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun -> HKU
Sai Wan Ho,Eastern,Kennedy Town,Central and Western,25,9.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun -> HKU -> Kennedy Town
Sai Wan Ho,Eastern,Tiu Keng Leng,Sai Kung,17,13.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Tiu Keng Leng
Sai Wan Ho,Eastern,Yau Tong,Kwun Tong,14,10.6,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong
Sai Wan Ho,Eastern,Lam Tin,Kwun Tong,17,10.6,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin
Sai Wan Ho,Eastern,Kwun Tong,Kwun Tong,19,10.6,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong
Sai Wan Ho,Eastern,Ngau Tau Kok,Kwun Tong,21,10.6,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok
Sai Wan Ho,Eastern,Kowloon Bay,Kwun Tong,23,13.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay
Sai Wan Ho,Eastern,Choi Hung,Wong Tai Sin,25,13.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung
Sai Wan Ho,Eastern,Diamond Hill,Wong Tai Sin,27,13.2,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill
Sai Wan Ho,Eastern,Wong Tai Sin,Wong Tai Sin,29,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Wong Tai Sin
Sai Wan Ho,Eastern,Lok Fu,Wong Tai Sin,31,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Wong Tai Sin -> Lok Fu
Sai Wan Ho,Eastern,Shek Kip Mei,Sham Shui Po,33,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward -> Shek Kip Mei
Sai Wan Ho,Eastern,Prince Edward,Yau Tsim Mong,29,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok -> Prince Edward
Sai Wan Ho,Eastern,Mong Kok,Yau Tsim Mong,28,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Mong Kok
Sai Wan Ho,Eastern,Yau Ma Tei,Yau Tsim Mong,26,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei
Sai Wan Ho,Eastern,Ho Man Tin,Kowloon City,30,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Ho Man Tin
Sai Wan Ho,Eastern,Whampoa,Kowloon City,33,15.8,Sai Wan Ho -> Tai Koo -> Quarry Bay -> North Point -> Fortress Hill -> Tin Hau -> Causeway Bay -> Wan Chai -> Admiralty -> Tsim Sha Tsui -> Jordan -> Yau Ma Tei -> Ho Man Tin -> Whampoa
Sai Wan Ho,Eastern,Wu Kai Sha,Sha Tin,57,22.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On -> Ma On Shan -> Wu Kai Sha
Sai Wan Ho,Eastern,Ma On Shan,Sha Tin,55,22.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On -> Ma On Shan
Sai Wan Ho,Eastern,Heng On,Sha Tin,52,22.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On
Sai Wan Ho,Eastern,Tai Shui Hang,Sha Tin,50,22.9,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang
Sai Wan Ho,Eastern,Shek Mun,Sha Tin,47,20.4,Sai Wan Ho -> Tai Koo -> Quarry Bay -> Yau Tong -> Lam Tin -> Kwun Tong -> Ngau Tau Kok -> Kowloon Bay -> Choi Hung -> Diamond Hill -> Hin Keng -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun
