name,routeId,Fare,NumOfStops,distance,serviceDistricts,isCircular,start,startDistricts,end,endDistricts,detail
811A,CMPattern_GMBBus811A_5945,10.2,26,11.29068645,Sha Tin West > Sha Tin East,FALSE,"穗禾路，近沙田渣甸山花園 Sui Wo Road, Ville De Jardin",Sha Tin West,碧濤花園 Pictorial Garden,Sha Tin East,碧濤花園（經穗禾苑巴士總站） Pictorial Garden (via Sui Wo Court Bus Terminus)
811A,CMPattern_GMBBus811A_7036,10.2,26,10.89497181,Sha Tin West > Sha Tin East,FALSE,"穗禾路，近沙田渣甸山花園 Sui Wo Road, Ville De Jardin",Sha Tin West,碧濤花園 Pictorial Garden,Sha Tin East,碧濤花園 Pictorial Garden
44A,CMPattern_GMBBus44A_4018,18.1,16,28.71954023,Tuen Mun East > Tuen Mun West > Tuen Mun North > Robin’s Nest,FALSE,屯門站公共運輸交滙處 Tuen Mun Station Public Transport Interchange,Tuen Mun East,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
403A,CMPattern_CM_GMBBus_403a_7240,12.3,14,19.974277,Kwai Chung East > Tsuen Wan Southeast > Sha Tin West > Tsuen Wan Southeast > Kwai Chung East,FALSE,"梨木道，近童子街 Lei Muk Road, near Tung Chi Street",Kwai Chung East,安蔭邨（安足街）小巴總站 On Yam Estate (On Chuk Street) Minibus Terminus,Kwai Chung East,安蔭安足街 On Yam (On Chuk Street)
28,CMPattern_GMBBus28_5868,11.5,25,12.23707955,Southern District Northwest > Western > Central > Wan Chai,FALSE,"上碧瑤灣24座外 Baguio Villa (Upper), outside Block 24",Southern District Northwest,"新會道，近京城大廈 Sun Wui Road, near Capital Building",Wan Chai,銅鑼灣新會道（經山道天橋） Causeway Bay (Sun Wui Road) (via Hill Road Flyover)
28,CMPattern_GMBBus28_1331,11.5,32,12.64714861,Southern District Northwest > Western > Central > Western > Central > Wan Chai,FALSE,"上碧瑤灣24座外 Baguio Villa (Upper), outside Block 24",Southern District Northwest,"新會道，近京城大廈 Sun Wui Road, near Capital Building",Wan Chai,銅鑼灣新會道 Causeway Bay (Sun Wui Road)
22S,CMPattern_CM_GMBBus_22s_6145,9.2,26,9.196231484,Southern District Northwest > Western > Central > Western > Central,FALSE,"利牧徑，薄扶林花園 Claymore Avenue, Pok Fu Lam Garden",Southern District Northwest,中環（中環碼頭） Central (Central Ferry Piers),Central,中環中環碼頭（經雅緻洋房） Central (Central Ferry Piers) (via Yat Chee Villas)
22S,CMPattern_CM_GMBBus_22s_6146,9.2,26,7.955080441,Southern District Northwest > Western > Central > Western > Central,FALSE,"利牧徑，薄扶林花園 Claymore Avenue, Pok Fu Lam Garden",Southern District Northwest,中環（中環碼頭） Central (Central Ferry Piers),Central,中環中環碼頭 Central (Central Ferry Piers)
73,CMPattern_CM_GMBBus_73_6016,7.9,26,10.13724444,Sham Shui Po East > Kowloon City North > Wong Tai Sin West > Wong Tai Sin East > Wong Tai Sin West > Kowloon City North > Sham Shui Po East,TRUE,"達之路，又一城地面 Tat Chee Avenue, Ground Floor of The Festival Walk",Sham Shui Po East,"達之路，又一城地面 Tat Chee Avenue, Ground Floor of The Festival Walk",Sham Shui Po East,又一城公共交通總站 - 慈雲山中心（循環綫） Festival Walk Public Transport Terminus - Tsz Wan Shan Centre (Circular)
803,CMPattern_GMBBus803_5287,8.3,23,11.85350543,Sha Tin North > Sha Tin East > Sha Tin South,FALSE,利安邨巴士總站 Lee On Estate Bus Terminus,Sha Tin North,"顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)",Sha Tin South,顯徑 Hin Keng
803,CMPattern_GMBBus803_6145,8.3,21,11.82701786,Sha Tin North > Sha Tin East > Sha Tin South,FALSE,利安邨巴士總站 Lee On Estate Bus Terminus,Sha Tin North,"顯田街，近梁文燕紀念中學 Hin Tin Street, near Helen Liang Memorial Secondary School (Shatin)",Sha Tin South,顯徑（經大老山公路） Hin Keng (via Tate's Cairn Highway)
1,CMPattern_CM_GMBBus_1_1_8188,10.9,17,16.33374563,Kwun Tong West > Wong Tai Sin East > Sai Kung and Hang Hau,FALSE,"德福花園德福廣場 Telford Plaza, Telford Gardens",Kwun Tong West,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,西貢（經牛池灣村） Sai Kung (via Ngau Chi Wan Village)
1,CMPattern_CM_GMBBus_1_1_8189,10.9,16,14.67860974,Kwun Tong West > Wong Tai Sin East > Sai Kung and Hang Hau,FALSE,"德福花園德福廣場 Telford Plaza, Telford Gardens",Kwun Tong West,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,西貢 Sai Kung
55K,CMPattern_CM_GMBBus_55k_6191,11.5,26,13.85068749,Robin’s Nest > Wu Tip Shan > Robin’s Nest,FALSE,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,沙頭角小巴總站 Sha Tau Kok Public Light Bus Terminus,Robin’s Nest,沙頭角順隆街 Sha Tau Kok (Shun Lung Street)
22,CMPattern_CM_GMBBus_22_6119,9.2,26,8.514319672,Southern District Northwest > Western > Central > Western > Central,FALSE,"利牧徑，薄扶林花園 Claymore Avenue, Pok Fu Lam Garden",Southern District Northwest,中環（交易廣場） Central (Exchange Square),Central,中環交易廣場（經雅緻洋房） Central (Exchange Square) (via Yat Chee Villas)
22,CMPattern_CM_GMBBus_22_6120,9.2,26,7.273168629,Southern District Northwest > Western > Central > Western > Central,FALSE,"利牧徑，薄扶林花園 Claymore Avenue, Pok Fu Lam Garden",Southern District Northwest,中環（交易廣場） Central (Exchange Square),Central,中環交易廣場 Central (Exchange Square)
68,CMPattern_CM_GMBBus_68_1_8395,6.7,25,11.59245536,Wong Tai Sin East > Kwun Tong West > Kwun Tong Central > Kwun Tong West > Kwun Tong Central > Kwun Tong West > Wong Tai Sin East,TRUE,"豐盛街，近彩雲邨彩雲（一）邨觀日樓 Fung Shing Street, near Koon Yat House, Choi Wan (I) Estate, Choi Wan Estate",Wong Tai Sin East,"豐盛街，近彩雲邨彩雲（一）邨觀日樓 Fung Shing Street, near Koon Yat House, Choi Wan (I) Estate, Choi Wan Estate",Wong Tai Sin East,彩雲邨 - 九龍灣（循環綫） Choi Wan Estate - Kowloon Bay (Circular)
811A,CMPattern_GMBBus811A_5944,10.2,26,10.38942979,Sha Tin East > Sha Tin West,FALSE,碧濤花園 Pictorial Garden,Sha Tin East,"穗禾路，近沙田渣甸山花園 Sui Wo Road, Ville De Jardin",Sha Tin West,華翠園 Greenwood Terrace
811A,CMPattern_GMBBus811A_5946,10.2,26,10.78643527,Sha Tin East > Sha Tin West,FALSE,碧濤花園 Pictorial Garden,Sha Tin East,"穗禾路，近沙田渣甸山花園 Sui Wo Road, Ville De Jardin",Sha Tin West,華翠園（經穗禾苑巴士總站） Greenwood Terrace (via Sui Wo Court Bus Terminus)
