name,routeId,Fare,NumOfStops,distance,serviceDistricts,isCircular,start,startDistricts,end,endDistricts,detail
58,CMPattern_GMBBus58_2926,7.5,23,9.925626276,Southern District Northwest > Western,FALSE,"湖南街，安泰大廈外 Wu Nam Street, outside On Tai Building",Southern District Northwest,堅尼地城站 Kennedy Town Station,Western,堅尼地城站 Kennedy Town Station
14M,CMPattern_CM_GMBBus_14m_6087,6.3,23,5.565687928,Wan Chai,TRUE,蘭芳道，2號 Lan Fong Road No. 2,Wan Chai,蘭芳道，2號 Lan Fong Road No. 2,Wan Chai,銅鑼灣蘭芳道 - 睦誠道（循環綫） Causeway Bay (Lan Fong Road) - Moorsom Road (Circular)
90A,CMPattern_CM_GMBBus_90a_6018,7.1,12,5.51615174,Kowloon City North > Kwun Tong Central > Kwun Tong Southeast,FALSE,香港兒童醫院 Hong Kong Childrens Hospital,Kowloon City North,"油麗邨翠麗樓外小巴站 GMB Stop outside Tsui Lai House, Yau Lai Estate",Kwun Tong Southeast,油塘油麗邨 Yau Tong (Yau Lai Estate)
90A,CMPattern_CM_GMBBus_90a_8021,7.1,17,7.067271573,Kowloon City North > Kwun Tong Central > Kwun Tong Southeast,FALSE,香港兒童醫院 Hong Kong Childrens Hospital,Kowloon City North,"油麗邨翠麗樓外小巴站 GMB Stop outside Tsui Lai House, Yau Lai Estate",Kwun Tong Southeast,油塘油麗邨（經高超道） Yau Tong (Yau Lai Estate) (via Ko Chiu Road)
25M,CMPattern_CM_GMBBus_25m_7979,6.9,19,6.200698773,Wong Tai Sin West > Kowloon City North,FALSE,"東隆道，近東頭（二）邨街市及熟食檔 Tung Lung Road, near Tung Tau (II) Estate Market & Cooked Food Stalls",Wong Tai Sin West,九龍塘沙福道公共交通交滙處 Kowloon Tong Suffolk Road Public Transport Interchange,Kowloon City North,九龍塘沙福道公共交通交滙處 Kowloon Tong (Suffolk Road) Public Transport Interchange
58,CMPattern_GMBBus58_2927,7.5,20,9.252117265,Western > Southern District Northwest,FALSE,堅尼地城站 Kennedy Town Station,Western,"湖南街，安泰大廈外 Wu Nam Street, outside On Tai Building",Southern District Northwest,香港仔湖南街 Aberdeen (Wu Nam Street)
9,CMPattern_CM_GMBBus_9_7589,8.1,17,6.667631416,Central,TRUE,中環（交易廣場） Central (Exchange Square),Central,中環（交易廣場） Central (Exchange Square),Central,中環交易廣場 - 寶雲道（循環綫） Central (Exchange Square) - Bowen Road (Circular)
89B,CMPattern_CM_GMBBus_89b_6066,5.8,15,9.596110083,Kwun Tong West > Kwun Tong North,FALSE,常怡道 Sheung Yee Road,Kwun Tong West,"安茵街，近智泰樓 On Yan Street, near Chi Tai House",Kwun Tong North,安泰邨 On Tai Estate
52,CMPattern_CM_GMBBus_52_6109,10.1,26,12.34182514,Southern District Northwest > Southern District Southeast,FALSE,石排灣邨公共運輸交滙處 Shek Pai Wan Estate Public Transport Interchange,Southern District Northwest,赤柱監獄 Stanley Prison,Southern District Southeast,赤柱監獄 Stanley Prison
102,CMPattern_CM_GMBBus_102_9063,10.8,6,11.70309428,Wong Tai Sin West > Tseung Kwan O North > Sai Kung and Hang Hau > Tseung Kwan O North,FALSE,"康強街，康景樓對面 Hong Keung Street, Opposite Hong King Building",Wong Tai Sin West,坑口站公共運輸交滙處 Hang Hau Station Public Transport Interchange,Tseung Kwan O North,坑口站（經觀塘繞道） Hang Hau Station (via Kwun Tong Bypass)
102,CMPattern_CM_GMBBus_102_9062,10.8,17,10.74850442,Wong Tai Sin West > Wong Tai Sin East > Kwun Tong West > Kwun Tong Central > Tseung Kwan O North > Sai Kung and Hang Hau > Tseung Kwan O North,FALSE,"康強街，康景樓對面 Hong Keung Street, Opposite Hong King Building",Wong Tai Sin West,坑口站公共運輸交滙處 Hang Hau Station Public Transport Interchange,Tseung Kwan O North,坑口站 Hang Hau Station
35,CMPattern_CM_GMBBus_35_6339,10.2,22,9.945206362,Yuen Long Town Centre > Tin Shui Wai South and Ping Ha > Yuen Long Rural East > Tin Shui Wai South and Ping Ha,FALSE,"泰豐街，近泰豐樓 Tai Fung Street, near Tai Fung House",Yuen Long Town Centre,輞井圍小巴總站 Mong Tseng Wai Minibus Terminus,Tin Shui Wai South and Ping Ha,輞井圍 Mong Tseng Wai
1A,CMPattern_CM_GMBBus_1a_7505,5.7,16,5.800777288,Central,TRUE,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,中環香港站公共運輸交滙處 - 麥當奴道（循環綫） Central (Hong Kong Station Public Transport Interchange) - Macdonnell Road (Circular)
51B,CMPattern_CM_GMBBus_51b_5979,8.6,14,8.322675781,Robin’s Nest,FALSE,料壆路近公眾停車場 Liu Pok Road near Public Car Park,Robin’s Nest,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
4A,CMPattern_CM_GMBBus_4a_7540,10.2,10,9.523256691,Wan Chai > Southern District Southeast > Southern District Northwest,FALSE,"景隆街，近總統戲院 Cannon Street, near President Theatre",Wan Chai,石排灣邨公共運輸交滙處 Shek Pai Wan Estate Public Transport Interchange,Southern District Northwest,香港仔石排灣 Aberdeen (Shek Pai Wan)
49M,CMPattern_CM_GMBBus_49m_1_7701,6.3,26,6.301085076,Wan Chai > Tai Pak > Wan Chai,TRUE,天后公共運輸交滙處 Tin Hau Public Transport Interchange,Wan Chai,天后公共運輸交滙處 Tin Hau Public Transport Interchange,Wan Chai,天后站 - 寶馬山（循環綫） Tin Hau Station - Braemar Hill (Circular)
49M,CMPattern_CM_GMBBus_49m_1_7702,6.3,26,7.00172473,Wan Chai > Tai Pak > Wan Chai,TRUE,天后公共運輸交滙處 Tin Hau Public Transport Interchange,Wan Chai,天后公共運輸交滙處 Tin Hau Public Transport Interchange,Wan Chai,天后站 - 寶馬山（經寶聯徑）（循環綫） Tin Hau Station - Braemar Hill (via Po Luen Path) (Circular)
14M,CMPattern_CM_GMBBus_14m_6088,6.3,26,6.146269016,Wan Chai,TRUE,蘭芳道，2號 Lan Fong Road No. 2,Wan Chai,蘭芳道，2號 Lan Fong Road No. 2,Wan Chai,銅鑼灣蘭芳道 - 睦誠道（經谷柏道）（循環綫） Causeway Bay (Lan Fong Road) - Moorsom Road (via Cooper Road) (Circular)
20B,CMPattern_CM_GMBBus_20b_8639,8.3,23,9.016363902,Tai Po South > Tai Po North,FALSE,大埔墟站專綫小巴總站 Tai Po Market Station Minibus Terminus,Tai Po South,"洞梓路，近香港童軍總會洞梓童軍中心 Tung Tsz Road, outside Tung Tsz Scout Centre",Tai Po North,洞梓 Tung Tsz
51B,CMPattern_CM_GMBBus_51b_5978,8.6,14,8.100558211,Robin’s Nest,FALSE,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,料壆路近公眾停車場 Liu Pok Road near Public Car Park,Robin’s Nest,料壆 Liu Pok
37,CMPattern_CM_GMBBus_37_1_8788,9,21,8.652976311,Yuen Long Rural East > Yuen Long Town Centre,FALSE,"牛潭尾路，近攸潭尾村公所 Ngau Tam Mei Road, near Ngau Tam Mei Village Office",Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街 Yuen Long (Fook Hong Street)
37,CMPattern_CM_GMBBus_37_1_8790,9,22,9.543827367,Yuen Long Rural East > Yuen Long Town Centre,FALSE,牛潭尾（躉頭） Ngau Tam Mei (Wai Tsuen Road),Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街 Yuen Long (Fook Hong Street)
37,CMPattern_CM_GMBBus_37_1_8791,9,18,8.246278621,Yuen Long Rural East > Yuen Long Town Centre,FALSE,"牛潭尾路，近攸潭尾村公所 Ngau Tam Mei Road, near Ngau Tam Mei Village Office",Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街（經大橋路） Yuen Long (Fook Hong Street) (via Tai Kiu Road)
29,CMPattern_CM_GMBBus_29_6325,3.9,11,8.039096035,Sha Tin West > Tai Po South,FALSE,"科學園路，近香港中文大學 Science Park Road, near The Chinese University of Hong Kong",Sha Tin West,運頭塘總站 Wan Tau Tong Terminus,Tai Po South,運頭塘 Wan Tau Tong
83A,CMPattern_CM_GMBBus_83a_2_8991,6.4,15,4.922138867,Kwai Chung East > Tsuen Wan Southeast > Kwai Chung West > Tsuen Wan Southeast,FALSE,"安捷街，近安蔭邨嘉蔭樓 On Chit Street, near Kar Yam House, On Yam Estate",Kwai Chung East,"川龍街，近海天豪苑協和廣場 Chuen Lung Street, near Concord Square, The Blue Yard",Tsuen Wan Southeast,荃灣川龍街（經國瑞路） Tsuen Wan (Chuen Lung Street) (via Kwok Shui Road)
102,CMPattern_CM_GMBBus_102_9061,10.8,13,11.16509239,Tseung Kwan O North > Kwun Tong Central > Kwun Tong West > Wong Tai Sin East > Wong Tai Sin West,FALSE,坑口站公共運輸交滙處 Hang Hau Station Public Transport Interchange,Tseung Kwan O North,"康強街，康景樓對面 Hong Keung Street, Opposite Hong King Building",Wong Tai Sin West,新蒲崗 San Po Kong
59K,CMPattern_CM_GMBBus_59k_8879,9.1,19,10.28425567,Robin’s Nest,FALSE,香園圍 Heung Yuen Wai,Robin’s Nest,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,上水站 Sheung Shui Station
20B,CMPattern_CM_GMBBus_20b_8640,8.3,25,10.14270142,Tai Po North > Tai Po South,FALSE,"洞梓路，近香港童軍總會洞梓童軍中心 Tung Tsz Road, outside Tung Tsz Scout Centre",Tai Po North,大埔墟站專綫小巴總站 Tai Po Market Station Minibus Terminus,Tai Po South,大埔墟站（經洞梓山路） Tai Po Market Station (via Tung Tsz Shan Road)
20B,CMPattern_CM_GMBBus_20b_8641,8.3,23,8.918325741,Tai Po North > Tai Po South,FALSE,"洞梓路，近香港童軍總會洞梓童軍中心 Tung Tsz Road, outside Tung Tsz Scout Centre",Tai Po North,大埔墟站專綫小巴總站 Tai Po Market Station Minibus Terminus,Tai Po South,大埔墟站 Tai Po Market Station
24M,CMPattern_CM_GMBBus_24m_1_7640,7.8,20,7.83522178,Central > Wan Chai,FALSE,金鐘廊 Queensway Plaza,Central,渣甸山（畢拉山道）小巴總站 Jardine's Lookout (Mount Butler Road) Minibus Terminus,Wan Chai,畢拉山（經肇輝臺） Mount Butler (via Shiu Fai Terrace)
24M,CMPattern_CM_GMBBus_24m_1_7641,7.8,17,7.055938607,Central > Wan Chai,FALSE,金鐘廊 Queensway Plaza,Central,渣甸山（畢拉山道）小巴總站 Jardine's Lookout (Mount Butler Road) Minibus Terminus,Wan Chai,畢拉山 Mount Butler
20,CMPattern_CM_GMBBus_20_2_7974,6.1,25,5.868473366,Wong Tai Sin West > Wong Tai Sin East > Wong Tai Sin West > Wong Tai Sin East > Wong Tai Sin West > Wong Tai Sin East > Wong Tai Sin West,TRUE,"康強街，安強大樓外 Hong Keung Street, outside On Keung Building",Wong Tai Sin West,"康強街，安強大樓外 Hong Keung Street, outside On Keung Building",Wong Tai Sin West,新蒲崗 - 慈雲山北（循環綫） San Po Kong - Tsz Wan Shan (North) (Circular)
42,CMPattern_CM_GMBBus_42_8133,6.8,21,4.352689171,Sham Shui Po West > Sham Shui Po East > Sham Shui Po West > Sham Shui Po East,FALSE,"汝州西街，近恒發工業大廈 Yu Chau West Street, near Hang Fat Industrial Building",Sham Shui Po West,"澤安道，澤安邨麗澤樓外 Chak On Road, outside Lai Chak House, Chak On Estate",Sham Shui Po East,澤安邨 Chak On Estate
63,CMPattern_CM_GMBBus_63_1_7796,7.6,22,8.479539448,Southern District Southeast > Southern District Northwest,FALSE,海怡半島小巴總站 South Horizons Minibus Terminus,Southern District Southeast,瑪麗醫院 s 座 Queen Mary Hospital Block s,Southern District Northwest,瑪麗醫院 Queen Mary Hospital
59K,CMPattern_CM_GMBBus_59k_8880,9.1,18,8.378776944,Robin’s Nest,FALSE,上水站小巴總站 Sheung Shui Station Public Light Bus Terminus,Robin’s Nest,打鼓嶺（松園下）總站 Ta Kwu Ling (Tsung Yuen Ha) Bus Terminus,Robin’s Nest,松園下 Tsung Yuen Ha
75,CMPattern_CM_GMBBus_75_2_8176,5.2,26,7.137665897,Sham Shui Po West > Sham Shui Po East > Sham Shui Po West > Sham Shui Po East > Sham Shui Po West,TRUE,"西邨路，近富昌邨富旺樓 Sai Chuen Road, near Fu Wong House, Fu Cheong Estate",Sham Shui Po West,"西邨路，近富昌邨富旺樓 Sai Chuen Road, near Fu Wong House, Fu Cheong Estate",Sham Shui Po West,深水埗富昌邨 - 長沙灣青山道（循環綫） Sham Shui Po (Fu Cheong Estate) - Cheung Sha Wan (Castle Peak Road) (Circular)
63,CMPattern_CM_GMBBus_63_1_7797,7.6,20,9.093460033,Southern District Northwest > Southern District Southeast,FALSE,瑪麗醫院 s 座 Queen Mary Hospital Block s,Southern District Northwest,海怡半島小巴總站 South Horizons Minibus Terminus,Southern District Southeast,海怡半島 South Horizons
101M,CMPattern_GMBBus101M_3879,10.9,13,8.222197855,Sai Kung and Hang Hau > Tseung Kwan O North,FALSE,"西貢公路，白沙灣遊艇會外 Hiram's Highway, outside Hebe Haven Yacht Club",Sai Kung and Hang Hau,坑口站公共運輸交滙處 Hang Hau Station Public Transport Interchange,Tseung Kwan O North,坑口站 Hang Hau Station
2,CMPattern_CM_GMBBus_2_1_7507,7.5,20,8.700758712,Central,TRUE,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,中環香港站 - 舊山頂道（循環綫） Central (Hong Kong Station) - Old Peak Road (Circular)
42,CMPattern_CM_GMBBus_42_8134,6.8,8,3.871543197,Sham Shui Po East > Sham Shui Po West,FALSE,"澤安道，澤安邨麗澤樓外 Chak On Road, outside Lai Chak House, Chak On Estate",Sham Shui Po East,"汝州西街，近恒發工業大廈 Yu Chau West Street, near Hang Fat Industrial Building",Sham Shui Po West,長沙灣汝州西街 Cheung Sha Wan (Yu Chau West Street)
47M,CMPattern_CM_GMBBus_47m_1_7588,4.2,8,2.922971099,Chai Wan,TRUE,柴灣站巴士總站 Chai Wan Station Bus Terminus,Chai Wan,柴灣站巴士總站 Chai Wan Station Bus Terminus,Chai Wan,柴灣站 - 柴灣永平街（循環綫） Chai Wan Station - Chai Wan (Wing Ping Street) (Circular)
88M,CMPattern_CM_GMBBus_88m_9026,8.3,11,11.26133837,Kwai Chung East > Kwai Chung West > Tsing Yi > Kwai Chung West > Kwai Chung East,TRUE,新葵芳花園 New Kwai Fong Gardens,Kwai Chung East,新葵芳花園 New Kwai Fong Gardens,Kwai Chung East,葵芳站 - 青衣南（經新都會廣場）（循環綫） Kwai Fong Station - Tsing Yi South (via Metroplaza) (Circular)
88M,CMPattern_CM_GMBBus_88m_9027,8.3,10,10.81162653,Kwai Chung East > Kwai Chung West > Tsing Yi > Kwai Chung West > Kwai Chung East,TRUE,新葵芳花園 New Kwai Fong Gardens,Kwai Chung East,新葵芳花園 New Kwai Fong Gardens,Kwai Chung East,葵芳站 - 青衣南（循環綫） Kwai Fong Station - Tsing Yi South (Circular)
37,CMPattern_CM_GMBBus_37_1_8787,9,19,8.433380002,Yuen Long Town Centre > Yuen Long Rural East,FALSE,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,"牛潭尾路，近攸潭尾村公所 Ngau Tam Mei Road, near Ngau Tam Mei Village Office",Yuen Long Rural East,攸潭尾村公所 Yau Tam Mei Village Office
24M,CMPattern_CM_GMBBus_24m_1_7638,7.8,23,7.612592691,Wan Chai > Central,FALSE,渣甸山（畢拉山道）小巴總站 Jardine's Lookout (Mount Butler Road) Minibus Terminus,Wan Chai,金鐘廊 Queensway Plaza,Central,金鐘站德立街（經肇輝臺） Admiralty Station (Drake Street) (via Shiu Fai Terrace)
24M,CMPattern_CM_GMBBus_24m_1_7639,7.8,20,6.964423821,Wan Chai > Central,FALSE,渣甸山（畢拉山道）小巴總站 Jardine's Lookout (Mount Butler Road) Minibus Terminus,Wan Chai,金鐘廊 Queensway Plaza,Central,金鐘站德立街 Admiralty Station (Drake Street)
8,CMPattern_GMBBus8_5904,8,18,5.255307776,Yau Tsim Mong South > Kowloon City South,FALSE,"漢口道，漢口中心外 Hankow Road, outside Hankow Centre",Yau Tsim Mong South,忠孝街欣圖軒巴士站 Chung Hau Street near Cascades Bus Stop,Kowloon City South,欣圖軒 Cascades
25B,CMPattern_CM_GMBBus_25b_5616,7.9,14,4.434905203,Wong Tai Sin West > Wong Tai Sin East > Kowloon City North,FALSE,新蒲崗（譽港灣） San Po Kong (The Latitude),Wong Tai Sin West,九龍塘沙福道公共交通交滙處 Kowloon Tong Suffolk Road Public Transport Interchange,Kowloon City North,九龍塘沙福道公共交通交滙處 Kowloon Tong (Suffolk Road) Public Transport Interchange
54,CMPattern_GMBBus54_1_5284,9.4,23,8.323267104,Wong Tai Sin West > Wong Tai Sin East > Kwun Tong North,FALSE,樂富 Lok Fu,Wong Tai Sin West,順天邨 Shun Tin Estate,Kwun Tong North,順天 Shun Tin
36,CMPattern_CM_GMBBus_36_8769,9,21,8.039531468,Yuen Long Rural East > Yuen Long Town Centre,FALSE,大生圍村公所小巴總站 Tai Sang Wai Village Office Minibus Terminus,Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街 Yuen Long (Fook Hong Street)
36,CMPattern_CM_GMBBus_36_8770,9,18,8.023998618,Yuen Long Rural East > Yuen Long Town Centre,FALSE,大生圍村公所小巴總站 Tai Sang Wai Village Office Minibus Terminus,Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街（經大橋路） Yuen Long (Fook Hong Street) (via Tai Kiu Road)
19,CMPattern_CM_GMBBus_19_7954,5.8,16,5.615313303,Wong Tai Sin West > Wong Tai Sin East > Wong Tai Sin West > Wong Tai Sin East > Wong Tai Sin West,FALSE,"彝倫街，近百樂大樓 Yi Lun Street, near Pak Lok House",Wong Tai Sin West,"慈雲山道，沙田坳邨和田樓外 Tsz Wan Shan Road, outside Wo Tin House, Shatin Pass Estate",Wong Tai Sin West,慈雲山道沙田坳邨 Tsz Wan Shan Road (Shatin Pass Estate)
83A,CMPattern_CM_GMBBus_83a_3_8993,6.4,12,4.36364032,Kwai Chung East > Kwai Chung West > Tsuen Wan Southeast,FALSE,"安捷街，近安蔭邨嘉蔭樓 On Chit Street, near Kar Yam House, On Yam Estate",Kwai Chung East,"川龍街，近海天豪苑協和廣場 Chuen Lung Street, near Concord Square, The Blue Yard",Tsuen Wan Southeast,荃灣川龍街 Tsuen Wan (Chuen Lung Street)
38,CMPattern_CM_GMBBus_38_8803,9,19,7.926721224,Yuen Long Rural East > Yuen Long Town Centre,FALSE,"竹攸路，近香港政府環境保護署牛潭尾堆肥廠 Chuk Yau Road, near Hong Kong Government Environmental Protection Department Ngau Tam Mei Composting Plant",Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街 Yuen Long (Fook Hong Street)
38,CMPattern_CM_GMBBus_38_8804,9,16,7.520749184,Yuen Long Rural East > Yuen Long Town Centre,FALSE,"竹攸路，近香港政府環境保護署牛潭尾堆肥廠 Chuk Yau Road, near Hong Kong Government Environmental Protection Department Ngau Tam Mei Composting Plant",Yuen Long Rural East,"福康街，金寶樓外小巴總站 Fook Hong Street Public Light Bus Terminus, outside Kam Po Building",Yuen Long Town Centre,元朗福康街（經大橋路） Yuen Long (Fook Hong Street) (via Tai Kiu Road)
73,CMPattern_CM_GMBBus_73_1_6363,6.6,11,5.619786387,Yuen Long Rural East > Yuen Long Town Centre,FALSE,元朗（崇山新村）小巴總站 Yuen Long (Sung Shan New Village) Minibus Terminus,Yuen Long Rural East,"媽橫路，近朗屏站 Ma Wang Road, near Long Ping Station",Yuen Long Town Centre,朗屏站媽橫路 Long Ping Station (Ma Wang Road)
59,CMPattern_CM_GMBBus_59_1_8206,4.5,20,3.364583033,Kwun Tong Central,TRUE,"翠屏南邨翠松樓外 Tsui Ping (South) Estate, outside Tsui Chung House",Kwun Tong Central,"翠屏南邨翠松樓外 Tsui Ping (South) Estate, outside Tsui Chung House",Kwun Tong Central,翠屏南邨 - 協和街（循環綫） Tsui Ping Estate South - Hip Wo Street (Circular)
9,CMPattern_CM_GMBBus_9_1_8572,8.4,11,10.24654634,Sai Kung and Hang Hau,FALSE,"福民路小巴總站，經華樓外 Fuk Man Road Public Light Bus Terminus, outside King Wah Building",Sai Kung and Hang Hau,麥理浩夫人渡假村 Lady Maclehose Holiday Village,Sai Kung and Hang Hau,麥理浩夫人度假村 Lady Maclehose Holiday Village
44A,CMPattern_CM_GMBBus_44a_7870,4.2,8,2.914532975,Sham Shui Po West,TRUE,長沙灣廣場小巴總站 Cheung Sha Wan Minibus Terminus,Sham Shui Po West,長沙灣廣場小巴總站 Cheung Sha Wan Minibus Terminus,Sham Shui Po West,長沙灣廣場 - 海麗邨（循環綫） Cheung Sha Wan Plaza - Hoi Lai Estate (Circular)
68,CMPattern_CM_GMBBus_68_1_8397,6.7,15,9.089275168,Wong Tai Sin East > Kwun Tong West > Kwun Tong Central > Kwun Tong West > Wong Tai Sin East,TRUE,"豐盛街，近彩雲邨彩雲（一）邨觀日樓 Fung Shing Street, near Koon Yat House, Choi Wan (I) Estate, Choi Wan Estate",Wong Tai Sin East,"豐盛街，近彩雲邨彩雲（一）邨觀日樓 Fung Shing Street, near Koon Yat House, Choi Wan (I) Estate, Choi Wan Estate",Wong Tai Sin East,彩雲邨 - 九龍灣（經啟祥道）（循環綫） Choi Wan Estate - Kowloon Bay (via Kai Cheung Road) (Circular)
52K,CMPattern_CM_GMBBus_52k_6075,6.6,14,7.599533909,Wu Tip Shan > Robin’s Nest,FALSE,粉嶺站專綫小巴總站 Public Light Bus (Scheduled) Service Terminus at Fanling Station,Wu Tip Shan,"坪輋路，馮黃鳳亭安老院外 Ping Che Road, outside Caritas Fung Wong Fung Ting Home",Robin’s Nest,坪輋（經和滿街） Ping Che (via Wo Mun Street)
52K,CMPattern_CM_GMBBus_52k_6076,6.6,13,7.226239519,Wu Tip Shan > Robin’s Nest,FALSE,粉嶺站專綫小巴總站 Public Light Bus (Scheduled) Service Terminus at Fanling Station,Wu Tip Shan,"坪輋路，馮黃鳳亭安老院外 Ping Che Road, outside Caritas Fung Wong Fung Ting Home",Robin’s Nest,坪輋 Ping Che
88M,CMPattern_CM_GMBBus_88m_9020,8.3,16,11.50053754,Kwai Chung East > Kwai Chung West > Tsing Yi,FALSE,新葵芳花園 New Kwai Fong Gardens,Kwai Chung East,香港聯合船塢小巴總站 Hong Kong United Dockyard Minibus Terminus,Tsing Yi,香港聯合船塢 Hong Kong United Dockyard
88M,CMPattern_CM_GMBBus_88m_9022,8.3,13,9.422994808,Kwai Chung East > Kwai Chung West > Tsing Yi,FALSE,新葵芳花園 New Kwai Fong Gardens,Kwai Chung East,香港聯合船塢小巴總站 Hong Kong United Dockyard Minibus Terminus,Tsing Yi,香港聯合船塢（不經長青） Hong Kong United Dockyard (omit Cheung Ching)
69X,CMPattern_GMBBus69X_6065,12.5,22,10.79927595,Southern District Northwest > Southern District Southeast > Wan Chai,FALSE,數碼港公共運輸交滙處 Cyberport Public Transport Interchange,Southern District Northwest,"駱克道，近景隆街 Lockhart Road, near Cannon Street",Wan Chai,銅鑼灣駱克道 Causeway Bay (Lockhart Road)
69X,CMPattern_GMBBus69X_6138,12.5,22,10.91889568,Southern District Northwest > Southern District Southeast > Wan Chai,FALSE,數碼港公共運輸交滙處 Cyberport Public Transport Interchange,Southern District Northwest,"駱克道，近景隆街 Lockhart Road, near Cannon Street",Wan Chai,銅鑼灣駱克道（經華富北） Causeway Bay (Lockhart Road) (via Wah Fu (North))
54,CMPattern_GMBBus54_1_5285,9.4,18,6.857118417,Kwun Tong North > Kwun Tong West > Wong Tai Sin West > Wong Tai Sin East > Wong Tai Sin West,FALSE,順天邨 Shun Tin Estate,Kwun Tong North,樂富 Lok Fu,Wong Tai Sin West,樂富 Lok Fu
89C,CMPattern_CM_GMBBus_89c_6096,6.1,17,5.12474202,Kwun Tong West > Kwun Tong North,FALSE,牛頭角總站 Ngau Tau Kok Bus Terminus,Kwun Tong West,安翠街小巴總站 On Chui Street GMB Terminus,Kwun Tong North,安達邨（經秀茂坪南） On Tat Estate (via Sau Mau Ping (South))
89C,CMPattern_CM_GMBBus_89c_6098,6.1,11,4.079945858,Kwun Tong West > Kwun Tong North,FALSE,牛頭角總站 Ngau Tau Kok Bus Terminus,Kwun Tong West,安翠街小巴總站 On Chui Street GMB Terminus,Kwun Tong North,安達邨 On Tat Estate
20C,CMPattern_CM_GMBBus_20c_8658,8.8,26,10.56022013,Tai Po North > Tai Po South,FALSE,大美督公共運輸交滙處 Tai Mei Tuk Public Transport Interchange,Tai Po North,大埔墟站專綫小巴總站 Tai Po Market Station Minibus Terminus,Tai Po South,大埔墟站 Tai Po Market Station
20C,CMPattern_CM_GMBBus_20c_8664,8.8,19,9.439861692,Tai Po North > Tai Po South,FALSE,大美督公共運輸交滙處 Tai Mei Tuk Public Transport Interchange,Tai Po North,大埔墟站專綫小巴總站 Tai Po Market Station Minibus Terminus,Tai Po South,大埔墟站（經完善路） Tai Po Market Station (via Yuen Shin Road)
69,CMPattern_CM_GMBBus_69_1_8407,8.9,9,7.571269447,Kowloon City North > Wong Tai Sin West > Kwun Tong Central,FALSE,"獅子石道，近創業樓 Lion Rock Road, near Chong Yip Building",Kowloon City North,麗港城公共運輸交滙處 Laguna City Public Transport Interchange,Kwun Tong Central,麗港城 Laguna City
3,CMPattern_CM_GMBBus_3_7520,7.6,18,4.252875713,Central,FALSE,"寶珊道，近寶城大廈 A 座 Po Shan Road, near Po Shan Mansions Block A",Central,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,中環香港站公共運輸交滙處 Central (Hong Kong Station Public Transport Interchange)
83A,CMPattern_CM_GMBBus_83a_3_8992,6.4,11,4.512245034,Tsuen Wan Southeast > Kwai Chung East,FALSE,"川龍街，近海天豪苑協和廣場 Chuen Lung Street, near Concord Square, The Blue Yard",Tsuen Wan Southeast,"安捷街，近安蔭邨嘉蔭樓 On Chit Street, near Kar Yam House, On Yam Estate",Kwai Chung East,安蔭邨安捷街 On Yam Estate (On Chit Street)
3,CMPattern_CM_GMBBus_3_7519,7.6,15,5.298906868,Central,FALSE,香港站小巴總站 Hong Kong Station Minibus Terminus,Central,"寶珊道，近寶城大廈 A 座 Po Shan Road, near Po Shan Mansions Block A",Central,寶珊道 Po Shan Road
8S,CMPattern_CM_GMBBus_8s_6383,8,20,6.145428784,Kowloon City South > Yau Tsim Mong South,FALSE,何文田邨公共運輸交滙處 Ho Man Tin Estate Public Transport Interchange,Kowloon City South,"漢口道，漢口中心外 Hankow Road, outside Hankow Centre",Yau Tsim Mong South,尖沙咀漢口道 Tsim Sha Tsui (Hankow Road)
88M,CMPattern_CM_GMBBus_88m_9021,8.3,23,11.52414843,Tsing Yi > Kwai Chung West > Kwai Chung East,FALSE,香港聯合船塢小巴總站 Hong Kong United Dockyard Minibus Terminus,Tsing Yi,新葵芳花園 New Kwai Fong Gardens,Kwai Chung East,葵芳站 Kwai Fong Station
